scope,profile,condition,budget_fraction,n,oracle_ambiguous_n,oracle_fine_n,oracle_nonambiguous_n,output_ABSTAIN,output_AMBIGUOUS,output_FINE,output_SECTOR_SAFE,outputs_json,ambiguous_recall,fine_recall,safe_nonambiguous_rate,nonabstain_yield,abstain_rate,median_query_fraction,worst_query_fraction
PROFILE_CONDITION,RESOLUTION_FAVORING,INTERMEDIATE_INFORMATION_S3,0.1,6,5,1,1,4,2,0,0,"{""ABSTAIN"":4,""AMBIGUOUS"":2}",0.4,0.0,0.0,0.3333333333333333,0.6666666666666666,0.09951219512195122,0.09951219512195122
PROFILE_CONDITION,RESOLUTION_FAVORING,INTERMEDIATE_INFORMATION_S3,0.2,6,5,1,1,3,3,0,0,"{""ABSTAIN"":3,""AMBIGUOUS"":3}",0.6,0.0,0.0,0.5,0.5,0.16146341463414635,0.2
PROFILE_CONDITION,RESOLUTION_FAVORING,INTERMEDIATE_INFORMATION_S3,0.35,6,5,1,1,2,4,0,0,"{""ABSTAIN"":2,""AMBIGUOUS"":4}",0.8,0.0,0.0,0.6666666666666666,0.3333333333333333,0.20829268292682926,0.3492682926829268
PROFILE_CONDITION,RESOLUTION_FAVORING,INTERMEDIATE_INFORMATION_S3,0.5,6,5,1,1,1,5,0,0,"{""ABSTAIN"":1,""AMBIGUOUS"":5}",1.0,0.0,0.0,0.8333333333333334,0.16666666666666666,0.20829268292682926,0.4995121951219512
PROFILE_CONDITION,RESOLUTION_FAVORING,INTERMEDIATE_INFORMATION_S3,0.75,6,5,1,1,0,5,0,1,"{""AMBIGUOUS"":5,""SECTOR_SAFE"":1}",1.0,0.0,1.0,1.0,0.0,0.20829268292682926,0.7492682926829268
PROFILE_CONDITION,RESOLUTION_FAVORING,INTERMEDIATE_INFORMATION_S3,1.0,6,5,1,1,0,5,1,0,"{""AMBIGUOUS"":5,""FINE"":1}",1.0,1.0,1.0,1.0,0.0,0.20829268292682926,0.7570731707317073
PROFILE_CONDITION,RESOLUTION_FAVORING,LOW_INFORMATION_F0,0.1,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,RESOLUTION_FAVORING,LOW_INFORMATION_F0,0.2,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,RESOLUTION_FAVORING,LOW_INFORMATION_F0,0.35,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
PROFILE_CONDITION,RESOLUTION_FAVORING,LOW_INFORMATION_F0,0.5,6,6,0,0,0,6,0,0,"{""AMBIGUOUS"":6}",1.0,,,1.0,0.0,0.000975609756097561,0.000975609756097561
